price_variant,kind,signal,threshold,dev_n,dev_roi,dev_profit,dev_hit_rate,dev_avg_odds,dev_profitable_seasons,test_n,test_roi,test_profit,test_hit_rate,test_avg_odds,test_profitable_seasons,dev_selection_score
opening_mean,H,edge,0.025,197,0.025380710659898487,5.000000000000002,0.3299492385786802,4.088324873096447,4,138,-0.2577173913043478,-35.565,0.2898550724637681,3.3535144927536233,0,0.06024291497975709
opening_mean,H,edge,0.05,167,-0.03278443113772451,-5.474999999999993,0.2874251497005988,4.408473053892216,2,114,-0.2912719298245614,-33.205,0.2631578947368421,3.574912280701754,0,-0.00523041474654375
opening_mean,H,edge,0.075,150,-0.002466666666666632,-0.3699999999999948,0.29333333333333333,4.5782,2,94,-0.26829787234042546,-25.21999999999999,0.2553191489361702,3.786010638297873,0,0.018150000000000027
opening_mean,H,edge,0.1,129,-0.012286821705426335,-1.5849999999999973,0.2713178294573643,4.840658914728682,2,79,-0.21594936708860754,-17.059999999999995,0.26582278481012656,3.9127215189873414,0,0.01114525139664806
opening_mean,H,edge,0.15,106,0.04,4.24,0.2641509433962264,5.260471698113206,2,55,-0.051181818181818155,-2.8149999999999986,0.3090909090909091,4.236909090909092,2,0.04717948717948718
opening_mean,H,edge,0.2,81,-0.01290123456790124,-1.0450000000000004,0.2345679012345679,5.817962962962963,2,43,-0.19860465116279064,-8.539999999999997,0.27906976744186046,4.576744186046512,1,0.012022900763358777
opening_mean,H,edge,0.3,53,-0.20707547169811324,-10.975000000000001,0.1509433962264151,6.687169811320754,1,19,0.024736842105263213,0.4700000000000011,0.3684210526315789,4.709736842105263,2,-0.09655339805825244
opening_mean,H,gap,0.01,233,0.05667381974248929,13.205000000000005,0.3776824034334764,3.774141630901288,4,186,-0.20443548387096774,-38.025,0.3602150537634409,2.9862634408602147,0,0.08666077738515904
opening_mean,H,gap,0.02,204,-0.016568627450980367,-3.3799999999999946,0.3382352941176471,3.8925735294117643,2,162,-0.20876543209876539,-33.81999999999999,0.345679012345679,3.001450617283951,0,0.006692913385826794
opening_mean,H,gap,0.03,181,-0.10765193370165746,-19.485,0.30939226519337015,3.9560497237569066,2,139,-0.2078776978417266,-28.895,0.3381294964028777,3.0239208633093524,0,-0.06435064935064934
opening_mean,H,gap,0.04,154,-0.07892857142857145,-12.155000000000003,0.3051948051948052,3.9580194805194813,2,110,-0.1939090909090909,-21.33,0.35454545454545455,3.0517727272727275,0,-0.039583333333333345
opening_mean,H,gap,0.05,122,-0.08795081967213117,-10.730000000000002,0.30327868852459017,4.018565573770491,2,83,-0.2562048192771084,-21.265,0.3253012048192771,2.9893975903614463,0,-0.04238372093023257
opening_mean,H,gap,0.075,76,0.1206578947368421,9.17,0.34210526315789475,3.867302631578947,2,47,-0.15021276595744681,-7.0600000000000005,0.3617021276595745,2.768617021276596,1,0.09277777777777778
opening_mean,H,gap,0.1,34,0.3410294117647059,11.595,0.4117647058823529,3.563970588235294,5,25,0.04520000000000001,1.1300000000000003,0.48,2.5626000000000007,2,0.1880357142857143
opening_mean,D,edge,0.0,286,-0.029947552447552445,-8.565,0.22727272727272727,4.571573426573426,3,127,0.33661417322834647,42.75,0.28346456692913385,4.7895669291338585,3,0.0045089285714285735
opening_mean,D,edge,0.025,240,-0.0535,-12.84,0.21666666666666667,4.7162083333333324,3,85,0.39499999999999996,33.574999999999996,0.29411764705882354,4.992470588235293,3,-0.014275862068965521
opening_mean,D,edge,0.05,194,-0.13889175257731956,-26.944999999999997,0.18556701030927836,4.921675257731959,3,61,0.27254098360655743,16.625000000000004,0.2459016393442623,5.219262295081967,3,-0.08043032786885244
opening_mean,D,edge,0.075,163,-0.14269938650306746,-23.259999999999994,0.17791411042944785,5.046533742331288,3,50,0.1514,7.57,0.22,5.2440999999999995,2,-0.07920187793427227
opening_mean,D,edge,0.1,140,-0.07757142857142856,-10.859999999999998,0.19285714285714287,5.1555,3,37,0.21500000000000005,7.955000000000002,0.21621621621621623,5.633513513513514,2,-0.027157894736842096
opening_mean,D,edge,0.15,91,-0.128021978021978,-11.649999999999999,0.17582417582417584,5.533241758241758,3,26,0.4107692307692308,10.68,0.23076923076923078,6.102692307692308,2,-0.0526241134751773
opening_mean,D,edge,0.2,63,-0.22476190476190472,-14.159999999999997,0.14285714285714285,6.042857142857142,3,16,1.0509374999999999,16.814999999999998,0.3125,6.5112499999999995,3,-0.09530973451327432
opening_mean,D,edge,0.3,31,-0.32999999999999996,-10.229999999999999,0.0967741935483871,7.303064516129032,3,11,1.5018181818181817,16.52,0.36363636363636365,6.751818181818183,2,-0.09629629629629627
opening_mean,D,gap,0.01,287,-0.05740418118466898,-16.474999999999998,0.2229965156794425,4.538397212543554,3,130,0.30869230769230765,40.129999999999995,0.2846153846153846,4.617153846153847,3,-0.01888724035608308
opening_mean,D,gap,0.02,212,-0.09028301886792453,-19.14,0.20754716981132076,4.729528301886792,3,63,0.2655555555555555,16.729999999999997,0.2698412698412698,4.873650793650793,2,-0.043053435114503824
