season,team_home_advantage,team_home_prior_sd,match_id,date,home_team,away_team,home_goals,away_goals,season_game,holdout_game,actual_result,actual_result_idx,p_home_v2,p_draw_v2,p_away_v2,p_home_book,p_draw_book,p_away_book,rps_v2,rps_book,d_book_v2,rps_paper,d_paper_v2
2016/17,False,0.15,2016/17|2017-04-29|Darmstadt|Freiburg,2017-04-29,Darmstadt,Freiburg,3,0,272,58,home_win,0,0.3391445725800263,0.2647190725286324,0.39613635489134125,0.2801999620325255,0.26577232171106757,0.45402771625640703,0.2968269538085174,0.362126630893493,0.06529967708497558,0.2132776813445983,-0.08354927246391913
2016/17,False,0.15,2016/17|2017-04-28|Leverkusen|Schalke 04,2017-04-28,Leverkusen,Schalke 04,1,4,271,57,away_win,2,0.42572001983375646,0.28414874221909525,0.29013123794714857,0.4453834249730786,0.28319177310426963,0.2714248019226518,0.34257559731285103,0.3645941072470986,0.022018509934247588,0.32573844802311447,-0.016837149289736564
2016/17,False,0.15,2016/17|2017-04-23|Schalke 04|RB Leipzig,2017-04-23,Schalke 04,RB Leipzig,1,1,270,56,draw,1,0.4726774558008316,0.28532000474180186,0.2420025394573664,0.3192659227344018,0.25458347605054893,0.4261506012150494,0.14099460316308068,0.1417675321676985,0.0007729290046178117,0.1259169306167837,-0.015077672546296994
2016/17,False,0.15,2016/17|2017-04-23|Freiburg|Leverkusen,2017-04-23,Freiburg,Leverkusen,2,1,269,55,home_win,0,0.350964699867177,0.27702645573196083,0.3720088444008621,0.26997395124606355,0.27841063722250303,0.4516154115314335,0.2798187005654843,0.3684472558959955,0.08862855533051117,0.2324373834359803,-0.047381317129504
2016/17,False,0.15,2016/17|2017-04-22|M'gladbach|Dortmund,2017-04-22,M'gladbach,Dortmund,2,3,268,54,away_win,2,0.2519500547700986,0.24000395073170847,0.5080459944981927,0.2849829937815646,0.24818772116672963,0.4668292850517058,0.1527487868139638,0.18274315901158927,0.029994372197625463,0.30448641787118674,0.15173763105722293
2016/17,False,0.15,2016/17|2017-04-22|Ingolstadt|Werder Bremen,2017-04-22,Ingolstadt,Werder Bremen,2,4,267,53,away_win,2,0.46387201915066645,0.26936085132207094,0.2667671295272626,0.4283276388682568,0.26799734781647755,0.30367501331526564,0.37640384624630313,0.3341665266499756,-0.04223731959632754,0.24975612447169535,-0.12664772177460779
2016/17,False,0.15,2016/17|2017-04-22|Hertha|Wolfsburg,2017-04-22,Hertha,Wolfsburg,1,0,266,52,home_win,0,0.3157773702324426,0.3186045737615816,0.3656180560059756,0.33696820062638594,0.29714468600690397,0.36588711336671004,0.30091858498181034,0.2867422733542181,-0.014176311627592253,0.14270289627415364,-0.1582156887076567
2016/17,False,0.15,2016/17|2017-04-22|Hamburg|Darmstadt,2017-04-22,Hamburg,Darmstadt,1,2,265,51,away_win,2,0.6082788120305368,0.22623293797035515,0.16548824999910822,0.7319054175634634,0.1745112561450251,0.09358332629151155,0.5332064870274161,0.6786383633177541,0.14543187629033794,0.5121528501041945,-0.021053636923221597
2016/17,False,0.15,2016/17|2017-04-22|Ein Frankfurt|Augsburg,2017-04-22,Ein Frankfurt,Augsburg,3,1,264,50,home_win,0,0.6591410219221719,0.22105448970431543,0.1198044883735126,0.5325279788565214,0.27757832325665704,0.18989369788682156,0.0652689791853502,0.1272948535245502,0.062025874339199996,0.14929186961676724,0.08402289043141704
2016/17,False,0.15,2016/17|2017-04-22|Bayern Munich|Mainz,2017-04-22,Bayern Munich,Mainz,2,2,263,49,draw,1,0.7243996013282306,0.18669405126454802,0.08890634740722142,0.8365822554199307,0.11368190927309162,0.04973583530697758,0.26632956050689643,0.3511717616985905,0.08484220119169406,0.24288968326239332,-0.02343987724450311
